Date,ID,Name,Neo Reference ID,NASA JPL URL,Absolute Magnitude H,Estimated Diameter Min (km),Estimated Diameter Max (km),Is Potentially Hazardous Asteroid,Close Approach Date Full,Relative Velocity (km/h),Miss Distance (astronomical units),Miss Distance (kilometers),Orbiting Body
2023-02-11,54341554,(2023 CQ2),54341554,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341554,26.1,0.0160160338,0.0358129403,False,2023-Feb-11 19:02,41397.967739097,0.0803611804,12021861.418525748,Earth
2023-02-11,54341633,(2023 CN3),54341633,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341633,26.38,0.0140784543,0.0314803809,False,2023-Feb-11 10:21,42189.3408563352,0.0172686385,2583351.537399995,Earth
2023-02-11,54342586,(2023 EE),54342586,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54342586,23.88,0.0445199816,0.0995497053,False,2023-Feb-11 08:30,38208.6232262978,0.0332384072,4972394.919312664,Earth
2023-02-11,54342596,(2023 EG),54342596,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54342596,23.81,0.0459785188,0.1028110936,False,2023-Feb-11 16:22,32598.188298303,0.16506266,24693022.3525342,Earth
2023-02-11,54347987,(2023 ED2),54347987,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54347987,23.97,0.0427124985,0.0955080501,False,2023-Feb-11 13:34,24867.2121476666,0.1683239441,25180903.507359067,Earth
2023-02-11,54402653,(2023 VN2),54402653,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54402653,26.61,0.0126635356,0.0283165265,False,2023-Feb-11 18:01,19304.5451189873,0.2882888545,43127398.577939915,Earth
2023-02-11,54423136,(2024 BZ3),54423136,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54423136,27.765,0.0074396923,0.0166356578,False,2023-Feb-11 00:57,12570.1845731832,0.1155249288,17282283.280381656,Earth
2023-02-10,2162483,162483 (2000 PJ5),2162483,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2162483,17.54,0.8251919385,1.845185269,False,2023-Feb-10 06:38,132240.8446610112,0.473943709,70900969.36629983,Earth
2023-02-10,2215442,215442 (2002 MQ3),2215442,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2215442,18.53,0.5230641758,1.1696070537,False,2023-Feb-10 06:30,89192.9178958712,0.4082514115,61073541.584893505,Earth
2023-02-10,3662292,(2014 DJ10),3662292,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3662292,23.19,0.0611723235,0.1367854737,False,2023-Feb-10 16:42,58856.1161711245,0.372868304,55780304.06891248,Earth
